"lat","lon","phVal"
-72.5,-178.5,7.69531202316284
-72.5,-177.5,7.69736480712891
-72.5,-176.5,7.69899940490723
-72.5,-175.5,7.70074892044067
-72.5,-174.5,7.70303249359131
-72.5,-173.5,7.70620727539062
-72.5,-172.5,7.71056461334229
-72.5,-171.5,7.71500158309937
-72.5,-170.5,7.71887826919556
-72.5,-169.5,7.722008228302
-72.5,-168.5,7.7242603302002
-72.5,-167.5,7.72573471069336
-72.5,-166.5,7.72691535949707
-72.5,-165.5,7.72833824157715
-72.5,-164.5,7.73030996322632
-72.5,-163.5,7.73283767700195
-72.5,-162.5,7.73582983016968
-72.5,-161.5,7.73910903930664
-72.5,-160.5,7.74254560470581
-72.5,-159.5,7.74603843688965
-72.5,-158.5,7.74957180023193
-72.5,-157.5,7.7531213760376
-72.5,-156.5,7.75666236877441
-72.5,-155.5,7.76014041900635
-72.5,-154.5,7.76338243484497
-72.5,-153.5,7.76638746261597
-72.5,-152.5,7.76913022994995
-72.5,-151.5,7.77133941650391
-72.5,-150.5,7.77239274978638
-72.5,-149.5,7.77223348617554
-72.5,-148.5,7.77110910415649
-72.5,-147.5,7.76972961425781
-72.5,-146.5,7.76807689666748
-72.5,-145.5,7.766188621521
-72.5,-144.5,7.76430034637451
-72.5,-143.5,7.76262712478638
-72.5,-142.5,7.76106548309326
-72.5,-141.5,7.7595739364624
-72.5,-140.5,7.75814390182495
-72.5,-139.5,7.75676822662354
-72.5,-138.5,7.75540208816528
-72.5,-137.5,7.7540135383606
-72.5,-136.5,7.75258111953735
-72.5,-135.5,7.75108194351196
-72.5,-134.5,7.74953174591064
-72.5,-133.5,7.74796915054321
-72.5,-132.5,7.74643087387085
-72.5,-131.5,7.74494361877441
-72.5,-130.5,7.7435450553894
-72.5,-129.5,7.74229049682617
-72.5,-128.5,7.74123477935791
-72.5,-127.5,7.74043321609497
-72.5,-126.5,7.73995018005371
-72.5,-125.5,7.73982858657837
-72.5,-124.5,7.74007034301758
-72.5,-123.5,7.74067306518555
-72.5,-122.5,7.74163007736206
-72.5,-121.5,7.74293851852417
-72.5,-120.5,7.74458694458008
-72.5,-119.5,7.74656295776367
-72.5,-118.5,7.74885416030884
-72.5,-117.5,7.75145101547241
-72.5,-116.5,7.75434398651123
-72.5,-115.5,7.75752353668213
-72.5,-114.5,7.76098775863647
-72.5,-113.5,7.76471567153931
-72.5,-112.5,7.76866722106934
-72.5,-111.5,7.77279996871948
-72.5,-110.5,7.77711343765259
-72.5,-109.5,7.78157043457031
-72.5,-108.5,7.78607177734375
-72.5,-107.5,7.79056215286255
-72.5,-106.5,7.79500436782837
-72.5,-105.5,7.79935598373413
-72.5,-104.5,7.80351495742798
-72.5,-103.5,7.80722045898438
-72.5,-94.5,7.78749513626099
-72.5,-93.5,7.78298044204712
-72.5,-92.5,7.77865409851074
-72.5,-91.5,7.77458763122559
-72.5,-90.5,7.77085447311401
-72.5,-89.5,7.76752138137817
-72.5,-88.5,7.76459693908691
-72.5,-87.5,7.76204586029053
-72.5,-86.5,7.75983428955078
-72.5,-85.5,7.75792598724365
-72.5,-84.5,7.75627326965332
-72.5,-83.5,7.75481414794922
-72.5,-82.5,7.75354242324829
-72.5,-81.5,7.7524471282959
-72.5,-80.5,7.75151538848877
-72.5,-79.5,7.75073432922363
-72.5,-76.5,7.74922037124634
-72.5,-75.5,7.74902677536011
-72.5,-74.5,7.74898529052734
-72.5,-73.5,7.74910736083984
-72.5,-59.5,7.71525764465332
-72.5,-58.5,7.71850252151489
-72.5,-57.5,7.72198247909546
-72.5,-56.5,7.72568511962891
-72.5,-55.5,7.7295994758606
-72.5,-54.5,7.73372554779053
-72.5,-53.5,7.73805999755859
-72.5,-52.5,7.74259281158447
-72.5,-51.5,7.74731636047363
-72.5,-50.5,7.75222826004028
-72.5,-49.5,7.75730657577515
-72.5,-48.5,7.76252412796021
-72.5,-47.5,7.76786613464355
-72.5,-46.5,7.77332305908203
-72.5,-45.5,7.77885341644287
-72.5,-44.5,7.78442335128784
-72.5,-43.5,7.79000520706177
-72.5,-42.5,7.79556369781494
-72.5,-41.5,7.80104637145996
-72.5,-40.5,7.80642032623291
-72.5,-39.5,7.81165409088135
-72.5,-38.5,7.81669902801514
-72.5,-37.5,7.82150459289551
-72.5,-36.5,7.82601928710938
