"lon","lat","PI_TCO2_1"
185.5,-76.5,2092.60083007812
186.5,-76.5,2083.37475585938
187.5,-76.5,2076.99291992188
188.5,-76.5,2073.6982421875
189.5,-76.5,2072.78369140625
190.5,-76.5,2073.2529296875
191.5,-76.5,2074.2880859375
192.5,-76.5,2075.4208984375
193.5,-76.5,2076.5224609375
194.5,-76.5,2077.63061523438
195.5,-76.5,2078.80908203125
196.5,-76.5,2080.09741210938
197.5,-76.5,2081.47680664062
198.5,-76.5,2082.92260742188
199.5,-76.5,2084.44506835938
200.5,-76.5,2086.07958984375
201.5,-76.5,2087.83618164062
202.5,-76.5,2089.72436523438
203.5,-76.5,2091.75341796875
204.5,-76.5,2093.93286132812
205.5,-76.5,2096.25366210938
206.5,-76.5,2098.572265625
207.5,-76.5,2100.81616210938
208.5,-76.5,2102.943359375
209.5,-76.5,2104.90747070312
307.5,-76.5,2000.41125488281
308.5,-76.5,2000.25012207031
309.5,-76.5,2000.00476074219
310.5,-76.5,1999.67822265625
311.5,-76.5,1999.27514648438
312.5,-76.5,1998.79992675781
313.5,-76.5,1998.25695800781
314.5,-76.5,1997.64916992188
315.5,-76.5,1996.98071289062
316.5,-76.5,1996.25744628906
317.5,-76.5,1995.48559570312
318.5,-76.5,1994.67114257812
319.5,-76.5,1993.82019042969
320.5,-76.5,1992.93823242188
321.5,-76.5,1992.03247070312
322.5,-76.5,1991.1103515625
323.5,-76.5,1990.17919921875
324.5,-76.5,1989.24462890625
325.5,-76.5,1988.31567382812
326.5,-76.5,1987.40148925781
327.5,-76.5,1986.5126953125
328.5,-76.5,1985.65991210938
329.5,-76.5,1984.85339355469
163.5,-75.5,1993.75341796875
164.5,-75.5,2022.74145507812
165.5,-75.5,2050.46801757812
166.5,-75.5,2077.13330078125
167.5,-75.5,2102.13793945312
168.5,-75.5,2121.85180664062
169.5,-75.5,2131.25854492188
170.5,-75.5,2131.9765625
171.5,-75.5,2127.763671875
172.5,-75.5,2122.04248046875
173.5,-75.5,2116.32543945312
174.5,-75.5,2111.3779296875
175.5,-75.5,2108.45385742188
176.5,-75.5,2110.07690429688
177.5,-75.5,2116.47143554688
178.5,-75.5,2123.63427734375
179.5,-75.5,2129.359375
180.5,-75.5,2132.1181640625
181.5,-75.5,2131.21411132812
182.5,-75.5,2128.19799804688
183.5,-75.5,2123.5244140625
184.5,-75.5,2118.205078125
185.5,-75.5,2113.31640625
186.5,-75.5,2108.36157226562
187.5,-75.5,2104.22021484375
188.5,-75.5,2101.26000976562
189.5,-75.5,2099.1572265625
190.5,-75.5,2097.5390625
191.5,-75.5,2095.99145507812
192.5,-75.5,2094.33129882812
193.5,-75.5,2093.060546875
194.5,-75.5,2092.16479492188
195.5,-75.5,2091.5595703125
196.5,-75.5,2091.2177734375
197.5,-75.5,2091.11865234375
198.5,-75.5,2091.21215820312
199.5,-75.5,2091.39526367188
200.5,-75.5,2091.66796875
201.5,-75.5,2092.03881835938
202.5,-75.5,2092.48413085938
203.5,-75.5,2092.98803710938
204.5,-75.5,2093.58813476562
205.5,-75.5,2094.33740234375
206.5,-75.5,2095.171875
207.5,-75.5,2095.83715820312
208.5,-75.5,2096.31323242188
209.5,-75.5,2096.51977539062
210.5,-75.5,2096.49072265625
211.5,-75.5,2096.35131835938
212.5,-75.5,2095.806640625
213.5,-75.5,2094.82202148438
302.5,-75.5,2007.06799316406
303.5,-75.5,2007.326171875
304.5,-75.5,2007.49267578125
305.5,-75.5,2007.57336425781
306.5,-75.5,2007.56848144531
307.5,-75.5,2007.48034667969
308.5,-75.5,2007.31823730469
309.5,-75.5,2007.08374023438
310.5,-75.5,2006.7783203125
311.5,-75.5,2006.40747070312
312.5,-75.5,2005.97875976562
313.5,-75.5,2005.49853515625
314.5,-75.5,2004.97399902344
315.5,-75.5,2004.41345214844
316.5,-75.5,2003.8251953125
317.5,-75.5,2003.21337890625
318.5,-75.5,2002.58605957031
319.5,-75.5,2001.95068359375
320.5,-75.5,2001.31896972656
321.5,-75.5,2000.70458984375
322.5,-75.5,2000.11669921875
323.5,-75.5,1999.56359863281
324.5,-75.5,1999.07885742188
325.5,-75.5,1998.67736816406
326.5,-75.5,1998.33166503906
327.5,-75.5,1998.01452636719
328.5,-75.5,1997.70239257812
329.5,-75.5,1997.37133789062
330.5,-75.5,1996.97973632812
331.5,-75.5,1996.49584960938
332.5,-75.5,1995.89294433594
333.5,-75.5,1995.14440917969
165.5,-74.5,2076.64916992188
166.5,-74.5,2099.36450195312
167.5,-74.5,2118.67504882812
168.5,-74.5,2133.67919921875
169.5,-74.5,2143.3623046875
170.5,-74.5,2148.28344726562
171.5,-74.5,2149.82934570312
172.5,-74.5,2149.0966796875
173.5,-74.5,2147.17456054688
174.5,-74.5,2144.83154296875
175.5,-74.5,2141.58740234375
176.5,-74.5,2137.44165039062
177.5,-74.5,2135.66259765625
178.5,-74.5,2136.68872070312
179.5,-74.5,2138.97412109375
180.5,-74.5,2140.88842773438
181.5,-74.5,2140.74438476562
182.5,-74.5,2138.3349609375
183.5,-74.5,2136.32958984375
184.5,-74.5,2134.689453125
185.5,-74.5,2133.07495117188
186.5,-74.5,2131.14868164062
187.5,-74.5,2128.64624023438
188.5,-74.5,2125.76318359375
189.5,-74.5,2122.41357421875
190.5,-74.5,2118.4267578125
191.5,-74.5,2114.265625
192.5,-74.5,2110.39892578125
193.5,-74.5,2107.18188476562
194.5,-74.5,2104.544921875
195.5,-74.5,2102.44946289062
196.5,-74.5,2100.81103515625
197.5,-74.5,2099.4599609375
198.5,-74.5,2098.3994140625
199.5,-74.5,2097.48461914062
200.5,-74.5,2096.65185546875
201.5,-74.5,2095.87719726562
202.5,-74.5,2095.14135742188
