Lon,Lat,ID,Source,Calcite,U238,U238sig,Age,U234delta,Basin,Genus,Place,Location,Site,LabID,Temp,Salinity,pH,TAlk,TCO2,OmegaA,oxygen
151.94906,-23.447938,2889,98,NA,3.5887,0.0033,0.00543845026114091,142.925509664937,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2890,98,NA,3.5806,0.004,0.00609091540320625,145.821574501619,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2891,98,NA,3.712,0.005,0.0223374807230966,147.326157520792,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2892,98,NA,2.7147,0.0025,0.0277755122472773,146.529527745494,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2893,98,NA,2.4073,0.0021,0.00437552449277137,146.419997069706,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2894,98,NA,2.5371,0.0024,0.0273379478586076,144.931567326428,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2895,98,NA,2.876,0.0029,0.138018388228751,145.576197796681,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2896,98,NA,2.5245,0.0023,0.0940157702333882,146.457041643993,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2897,98,NA,3.0609,0.0031,0.0964543634105071,149.154828372971,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2898,98,NA,3.6051,0.0039,0.00514367095477149,144.822635064618,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2899,98,NA,3.6963,0.0039,0.0256455489576133,143.932267722094,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2900,98,NA,2.4757,0.0023,0.0601778571252903,145.544222490948,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2901,98,NA,2.7374,0.0037,0.0500642458487281,148.13662672022,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
