"","U238","pH","TAlk","Salinity","Temperature","OmegaA","TCO2"
"277",1.4180543,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"278",1.369092,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"279",1.4025615,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"280",1.3815536,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"281",1.3291391,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"282",1.3591564,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"283",1.331202,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"284",1.3245923,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"285",1.3020267,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"286",1.3683342,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"287",1.381301,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"288",1.3666081,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"289",1.3535571,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"290",1.3487998,8.10949207096954,2264.59033499953,35.1266965868295,26.6399962694983,3.75919857763899,1927.57053886564
"291",1.0296397,8.10580975839183,2248.38718223224,34.852343282942,27.1187944737687,3.71682484922577,1915.44118189813
"292",1.1189759,8.10580975839183,2248.38718223224,34.852343282942,27.1187944737687,3.71682484922577,1915.44118189813
"293",1.1280695,8.10580975839183,2248.38718223224,34.852343282942,27.1187944737687,3.71682484922577,1915.44118189813
"294",1.033555,8.10580975839183,2248.38718223224,34.852343282942,27.1187944737687,3.71682484922577,1915.44118189813
"295",1.0104421,8.10580975839183,2248.38718223224,34.852343282942,27.1187944737687,3.71682484922577,1915.44118189813
"296",1.0626461,8.10580975839183,2248.38718223224,34.852343282942,27.1187944737687,3.71682484922577,1915.44118189813
"297",1.0241667,8.10587307376605,2248.72511812597,34.8538727108945,27.1174953718453,3.71788132478169,1915.67241080879
"298",1.0570468,8.10587307376605,2248.72511812597,34.8538727108945,27.1174953718453,3.71788132478169,1915.67241080879
"299",0.8813635,8.10587307376605,2248.72511812597,34.8538727108945,27.1174953718453,3.71788132478169,1915.67241080879
"300",1.0652984,8.10587307376605,2248.72511812597,34.8538727108945,27.1174953718453,3.71788132478169,1915.67241080879
"301",1.0735079,8.10587307376605,2248.72511812597,34.8538727108945,27.1174953718453,3.71788132478169,1915.67241080879
"302",1.0820542,8.10587307376605,2248.72511812597,34.8538727108945,27.1174953718453,3.71788132478169,1915.67241080879
"303",1.0683296,8.10587307376605,2248.72511812597,34.8538727108945,27.1174953718453,3.71788132478169,1915.67241080879
"304",0.9791618,8.10809765219258,2247.10256841643,34.8945700335312,27.127387620773,3.72994039091214,1913.08776045313
"305",1.1284484,8.10809765219258,2247.10256841643,34.8945700335312,27.127387620773,3.72994039091214,1913.08776045313
"306",1.1607812,8.10809765219258,2247.10256841643,34.8945700335312,27.127387620773,3.72994039091214,1913.08776045313
"307",1.101757,8.10809765219258,2247.10256841643,34.8945700335312,27.127387620773,3.72994039091214,1913.08776045313
"308",1.0857169,8.11007445717308,2261.59715936917,35.1264238094817,26.6456481825924,3.75952257718711,1924.64709461659
"309",1.1426361,8.11007445717308,2261.59715936917,35.1264238094817,26.6456481825924,3.75952257718711,1924.64709461659
"310",1.1516876,8.11007445717308,2261.59715936917,35.1264238094817,26.6456481825924,3.75952257718711,1924.64709461659
"311",1.159434,8.11007445717308,2261.59715936917,35.1264238094817,26.6456481825924,3.75952257718711,1924.64709461659
"312",1.1470987,8.11007445717308,2261.59715936917,35.1264238094817,26.6456481825924,3.75952257718711,1924.64709461659
"313",1.0273663,8.10949246996161,2264.58584452684,35.1267033334739,26.6399984112816,3.75919568554444,1927.56636956661
