"","X","Lon","Lat","ID","Source","Temperature","Salinity","pH","Calcite","U238","U238sig","Age","U234delta","Basin","Genus","Place","Location","Site","LabID","OmegaA","TAlk","TCO2","PI_TCO2","oxygen"
"957",957,-151.783197,-16.464763,2706,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,3.09,"0.002",4.75678377810649,144.247626071198,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.21525557835897,2365.72485351562,1988.7626953125,1924.12613932292,200.161860148112
"958",958,-151.783197,-16.464763,2707,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,3.094,"0.002",4.76534184976664,142.227001462952,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.21525557835897,2365.72485351562,1988.7626953125,1924.12613932292,200.161860148112
"959",959,-151.697658,-16.521611,2708,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,3.505,"0.002",3.02793792267211,143.545569384062,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.21797815958659,2364.12898763021,1987.19079589844,1922.6161702474,202.092107137044
"960",960,-154.525789,-15.816764,2709,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,2.767,"0.001",2.77085401057065,144.447837753656,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.2547664642334,2352.00797526042,1974.45430501302,1909.59578450521,198.598230997721
"961",961,-154.525789,-15.816764,2710,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,2.858,"0.001",3.2998499078046,144.663638927387,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.2547664642334,2352.00797526042,1974.45430501302,1909.59578450521,198.598230997721
"962",962,-154.525789,-15.816764,2711,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,2.493,"0.001",3.1918912572722,144.619571578895,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.2547664642334,2352.00797526042,1974.45430501302,1909.59578450521,198.598230997721
"963",963,-154.525789,-15.816764,2712,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,2.16,"0.001",3.00743795307909,147.565448959466,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.2547664642334,2352.00797526042,1974.45430501302,1909.59578450521,198.598230997721
"964",964,-151.697658,-16.521611,2713,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,2.815,"0.002",3.18075801899832,141.592412021328,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.21797815958659,2364.12898763021,1987.19079589844,1922.6161702474,202.092107137044
"965",965,-151.697658,-16.521611,2714,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,2.055,"0.001",1.78958735695042,143.044796275961,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.21797815958659,2364.12898763021,1987.19079589844,1922.6161702474,202.092107137044
"966",966,-151.754917,-16.436852,2715,93,27.5153333333333,36.2136666666667,8.12062040964762,NA,2.661,"0.005",2.40646191165143,141.283354800597,"Pacific","Porites","French Polynesia,Bora Bora","French Polynesia","Bora Bora","6",4.21525557835897,2365.72485351562,1988.7626953125,1924.12613932292,200.161860148112
"967",967,150.927572,-23.159214,2716,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.8941,"0.0011",5.7955754433288,145.889114200531,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"968",968,150.927572,-23.159214,2717,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.2827,"0.0012",2.93744929059577,144.012341170313,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"969",969,150.927572,-23.159214,2718,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.1006,"0.0012",1.70187596622294,144.614741125859,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"970",970,150.927572,-23.159214,2719,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.9822,"0.0011",1.56648347325388,144.559496450441,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"971",971,150.927572,-23.159214,2720,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.7803,"0.001",1.62656555347293,147.192145301601,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"972",972,150.927572,-23.159214,2721,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.1125,"0.001",1.75634882174976,143.83417648618,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"973",973,150.927572,-23.159214,2722,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.1193,"0.001",1.7826361767521,146.855560534877,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"974",974,150.927572,-23.159214,2723,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.0879,"0.0013",2.67174058146905,145.011096173486,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"975",975,150.927572,-23.159214,2724,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.0791,"0.0014",6.55771018353814,145.18604239195,"Pacific","Goniastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"976",976,150.927572,-23.159214,2725,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.8147,"0.0017",5.7542319777338,144.146793502386,"Pacific","Leptastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"977",977,150.927572,-23.159214,2726,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.0504,"0.0022",6.39847882579677,145.222489118095,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"978",978,150.927572,-23.159214,2727,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.1765,"0.0019",6.27334275347676,145.17121408404,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"979",979,150.927572,-23.159214,2728,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.5019,"0.0016",6.57889748589326,144.686100017503,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"980",980,150.927572,-23.159214,2729,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.5124,"0.0021",6.52281752154339,145.781998446978,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"981",981,150.927572,-23.159214,2730,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.3614,"0.0021",5.70362221993949,143.212943572107,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"982",982,150.927572,-23.159214,2731,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.8587,"0.0014",1.048411060906,145.550092974325,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"983",983,150.927572,-23.159214,2732,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.0813,"0.0014",1.03904905503908,144.745073654235,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"984",984,150.927572,-23.159214,2733,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.4097,"0.0015",5.32859663935475,146.812012610296,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"985",985,150.927572,-23.159214,2734,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.7724,"0.0017",5.73893639029524,145.561345711993,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"986",986,150.927572,-23.159214,2735,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.2932,"0.0014",5.93616187568336,145.947006219409,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"987",987,150.927572,-23.159214,2736,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.5361,"0.0016",6.1240158776787,146.430775243809,"Pacific","Leptastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"988",988,150.927572,-23.159214,2737,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.1841,"0.0022",5.19706743846861,142.603047719389,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"989",989,150.927572,-23.159214,2738,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.8433,"0.0014",5.48242630192287,146.267297365841,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"990",990,150.927572,-23.159214,2739,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.9487,"0.0011",4.96072453228906,143.723101802811,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"991",991,150.927572,-23.159214,2740,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.2567,"0.0015",5.10066399131644,144.185076737009,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"992",992,150.927572,-23.159214,2741,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.2033,"0.0014",5.09009196137534,145.193757205749,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"993",993,150.927572,-23.159214,2742,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.6269,"0.0012",4.87415867511135,145.712725498837,"Pacific","Favia","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
